0.00,8.40,1.23,1.23
100.00,5.90,0.00,0.00
150.00,25.50,0.00,0.00
200.00,37.50,0.00,0.00
250.00,44.80,0.00,0.00
300.00,50.30,0.00,0.00
350.00,54.80,0.00,0.00
400.00,58.20,0.00,0.00
450.00,61.30,0.00,0.00
500.00,64.50,0.00,0.00
550.00,68.70,0.00,0.00
600.00,74.80,0.00,0.00
650.00,84.40,0.00,0.00
700.00,99.30,0.00,0.00
750.00,121.00,0.00,0.00
800.00,151.00,0.00,0.00
850.00,188.00,0.00,0.00
900.00,226.00,0.00,0.00
950.00,263.00,0.00,0.00
1000.00,296.00,0.00,0.00
1250.00,408.00,0.00,0.00
1500.00,516.00,0.00,0.00
2000.00,829.00,0.00,0.00
2500.00,1220.00,0.00,0.00
3000.00,1590.00,0.00,0.00
3500.00,1900.00,0.00,0.00
4000.00,2180.00,0.00,0.00
4500.00,2430.00,0.00,0.00
5000.00,2690.00,0.00,0.00
6000.00,3200.00,0.00,0.00
7000.00,3750.00,0.00,0.00
8000.00,4340.00,0.00,0.00
9000.00,4970.00,0.00,0.00
10000.00,5630.00,0.00,0.00
15000.00,9600.00,0.00,0.00
20000.00,14600.00,0.00,0.00
25000.00,20700.00,0.00,0.00
30000.00,27800.00,0.00,0.00
35000.00,36000.00,0.00,0.00
35786.00,37300.00,0.00,0.00
